Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200
1985-07-01,12919.030273,12919.030273,12919.030273,12919.030273,12919.030273,0,12878.005859199995,12798.338867299988,12741.5526954,12568.985546906666,,
1985-07-02,12913.75,12913.75,12913.75,12913.75,12913.75,0,12893.351952999996,12815.602832099987,12750.30550788,12574.795677119999,,
1985-07-03,12924.299805,12924.299805,12924.299805,12924.299805,12924.299805,0,12896.153906199997,12830.673828199986,12756.590703200001,12579.901406293333,,
1985-07-04,12969.589844,12969.589844,12969.589844,12969.589844,12969.589844,0,12921.751953199997,12859.835839899986,12763.763515720002,12585.611002653333,,
1985-07-05,12963.349609,12963.349609,12963.349609,12963.349609,12963.349609,0,12938.003906199996,12892.694824199987,12771.959101640003,12591.221002653332,,
1985-07-08,13029.650391,13029.650391,13029.650391,13029.650391,13029.650391,0,12960.127929799997,12919.066894499987,12794.20871104,12598.372877653333,,
1985-07-09,13021.009766,13021.009766,13021.009766,13021.009766,13021.009766,0,12981.579882999999,12937.465917999987,12811.716718880001,12605.504335986667,,
1985-07-10,13012.089844,13012.089844,13012.089844,13012.089844,13012.089844,0,12999.137890799999,12947.645898499988,12824.471914200001,12611.654596399998,,
1985-07-11,12858.099609,12858.099609,12858.099609,12858.099609,12858.099609,0,12976.839843799997,12949.29589849999,12830.151484480002,12615.04233077333,,
1985-07-12,12839.490234,12839.490234,12839.490234,12839.490234,12839.490234,0,12952.067968799998,12945.035937499988,12835.067500080004,12618.492070346665,,
1985-07-15,12598.769531,12598.769531,12598.769531,12598.769531,12598.769531,0,12865.891796799997,12913.009863299989,12831.684687560002,12617.446992213334,,
1985-07-16,12698.259766,12698.259766,12698.259766,12698.259766,12698.259766,0,12801.341796799996,12891.460839899988,12829.25789068,12618.3589844,,
1985-07-17,12846.490234,12846.490234,12846.490234,12846.490234,12846.490234,0,12768.221874799996,12883.679882799986,12833.197109400004,12620.53539064,,
1985-07-18,12852.540039,12852.540039,12852.540039,12852.540039,12852.540039,0,12767.109960799997,12871.974902299986,12838.612304720004,12623.54126304,,
1985-07-19,12788.540039,12788.540039,12788.540039,12788.540039,12788.540039,0,12756.919921799996,12854.493945299988,12842.743906280002,12626.798593773332,,
1985-07-22,12771.660156,12771.660156,12771.660156,12771.660156,12771.660156,0,12791.498046799996,12828.694921799988,12842.839101600002,12628.607929706666,12496.686015647998,
1985-07-23,12762.830078,12762.830078,12762.830078,12762.830078,12762.830078,0,12804.412109199995,12802.876952999988,12843.707890640004,12630.373268239999,12504.044093768,
1985-07-24,12777.030273,12777.030273,12777.030273,12777.030273,12777.030273,0,12790.520116999996,12779.370995899988,12843.845507800004,12632.707942706666,12510.575296887999,
1985-07-25,12647.030273,12647.030273,12647.030273,12647.030273,12647.030273,0,12749.418163799995,12758.26406229999,12842.607929640006,12633.684348946666,12515.813062512,
1985-07-26,12648.089844,12648.089844,12648.089844,12648.089844,12648.089844,0,12721.328124799995,12739.12402329999,12843.141132760005,12634.485416653333,12521.422101576001,
1985-07-29,12591.419922,12591.419922,12591.419922,12591.419922,12591.419922,0,12685.280077999996,12738.38906239999,12836.160742120004,12635.001276026667,12527.024820328,
1985-07-30,12269.889648,12269.889648,12269.889648,12269.889648,12269.889648,0,12586.691991999996,12695.552050599992,12813.475546800006,12635.836067693335,12530.596500008001,
1985-07-31,12232.269531,12232.269531,12232.269531,12232.269531,12232.269531,0,12477.739843599997,12634.129980299991,12786.354726480005,12634.905533840001,12533.517296880002,
1985-08-01,12538.339844,12538.339844,12538.339844,12538.339844,12538.339844,0,12456.001757799997,12602.709960799992,12774.224335880004,12641.379127586668,12538.297617192002,
1985-08-02,12525.959961,12525.959961,12525.959961,12525.959961,12525.959961,0,12431.575781199997,12576.451952999992,12759.979140560004,12646.861263,12542.433218752001,
1985-08-05,12450.620117,12450.620117,12450.620117,12450.620117,12450.620117,0,12403.415820199996,12544.347949099993,12741.242734320005,12650.470598933334,12545.96610156,
1985-08-06,12437.280273,12437.280273,12437.280273,12437.280273,12437.280273,0,12436.893945199996,12511.792968599993,12722.183945240005,12654.645807266666,12549.24122656,
1985-08-07,12421.150391,12421.150391,12421.150391,12421.150391,12421.150391,0,12474.670117199998,12476.204980399994,12702.057968680005,12657.357552066665,12552.404750000002,
1985-08-08,12386.030273,12386.030273,12386.030273,12386.030273,12386.030273,0,12444.208202999997,12450.104980399994,12678.715585840004,12658.053020813333,12554.839468744003,
1985-08-09,12401.19043,12401.19043,12401.19043,12401.19043,12401.19043,0,12419.254296799996,12425.415038999994,12656.229218680004,12658.000898426666,12556.862671872,
1985-08-12,12372.879883,12372.879883,12372.879883,12372.879883,12372.879883,0,12403.706249999997,12403.561035099992,12629.958398360004,12657.57130208,12558.652507808,
1985-08-13,12326.709961,12326.709961,12326.709961,12326.709961,12326.709961,0,12381.592187599997,12409.243066399995,12602.186406160006,12656.243567706666,12560.013070312,
1985-08-14,12419.639648,12419.639648,12419.639648,12419.639648,12419.639648,0,12381.290038999996,12427.980078099994,12578.488398320007,12655.750091133334,12562.151226559998,
1985-08-15,12484.019531,12484.019531,12484.019531,12484.019531,12484.019531,0,12400.887890599997,12422.548046799993,12563.525195200005,12656.179817693335,12564.99570312,
1985-08-16,12583.080078,12583.080078,12583.080078,12583.080078,12583.080078,0,12437.265820199997,12428.260058499993,12553.268788960006,12657.930351546667,12568.483867183999,
1985-08-19,12640.049805,12640.049805,12640.049805,12640.049805,12640.049805,0,12490.699804599997,12447.203027299995,12554.919999920006,12660.44048176,12571.995945311997,
1985-08-20,12634.049805,12634.049805,12634.049805,12634.049805,12634.049805,0,12552.167773399997,12466.879980499994,12552.351601480008,12662.143815093334,12575.508585935997,
1985-08-21,12704.80957,12704.80957,12704.80957,12704.80957,12704.80957,0,12609.201757799998,12495.245898399993,12546.684374920007,12664.591940093334,12578.848023431998,
1985-08-22,12734.049805,12734.049805,12734.049805,12734.049805,12734.049805,0,12659.207812599998,12530.047851599993,12541.944765560007,12668.052473946667,12582.145062495998,
1985-08-23,12691.410156,12691.410156,12691.410156,12691.410156,12691.410156,0,12680.873828199998,12559.069824199994,12538.059570240008,12670.24048176,12584.379226559997,
1985-08-26,12651.769531,12651.769531,12651.769531,12651.769531,12651.769531,0,12683.217773399996,12586.958788999995,12533.263945240009,12671.710338533334,12585.521304679995,
1985-08-27,12691.410156,12691.410156,12691.410156,12691.410156,12691.410156,0,12694.689843599996,12623.428808499997,12530.407148360007,12674.206471346668,12587.241546863996,
1985-08-28,12685.5,12685.5,12685.5,12685.5,12685.5,0,12690.827929599996,12650.014843699995,12526.745937440006,12678.572734373334,12588.736187487995,
1985-08-29,12728.799805,12728.799805,12728.799805,12728.799805,12728.799805,0,12689.777929599997,12674.492871099996,12530.016718720006,12683.366067706667,12591.248187487996,
1985-08-30,12713.150391,12713.150391,12713.150391,12713.150391,12713.150391,0,12694.125976599997,12687.499902399995,12532.619140600005,12687.2748698,12594.173148431995,
1985-09-02,12726.639648,12726.639648,12726.639648,12726.639648,12726.639648,0,12709.099999999997,12696.158886699997,12538.027929640008,12689.508736986667,12597.875468743996,
1985-09-03,12630.959961,12630.959961,12630.959961,12630.959961,12630.959961,0,12697.009960999998,12695.849902299997,12552.470742160007,12689.249934906667,12600.548187495995,
1985-09-04,12529.469727,12529.469727,12529.469727,12529.469727,12529.469727,0,12665.803906399999,12678.315917999997,12564.358750000007,12687.328593760001,12601.429867183995,
1985-09-05,12491.799805,12491.799805,12491.799805,12491.799805,12491.799805,0,12618.403906399999,12654.090917999998,12562.497148440008,12685.230859386666,12602.124023439994,
1985-09-06,12453.849609,12453.849609,12453.849609,12453.849609,12453.849609,0,12566.543749999997,12630.334863299999,12559.612734360007,12683.36419272,12602.010578127993,
1985-09-09,12455.719727,12455.719727,12455.719727,12455.719727,12455.719727,0,12512.359765799998,12610.729882899997,12559.816718760007,12680.87071616,12601.603218759994,
1985-09-10,12519.540039,12519.540039,12519.540039,12519.540039,12519.540039,0,12490.075781399999,12593.542871199996,12563.107109400005,12678.532187506667,12601.935617199995,
1985-09-11,12625.25,12625.25,12625.25,12625.25,12625.25,0,12509.231835999997,12587.517871199996,12571.271093760008,12676.63992188,12602.606656263994,
1985-09-12,12603.040039,12603.040039,12603.040039,12603.040039,12603.040039,0,12531.479882799997,12574.941894599995,12579.951484400006,12674.143528653332,12603.100015639995,
1985-09-13,12585.700195,12585.700195,12585.700195,12585.700195,12585.700195,0,12557.849999999997,12562.196874999994,12587.331875000005,12671.840065106666,12603.444820327995,
