Date,Open,High,Low,Close,Adj Close,Volume,sma5,sma10,sma25,sma75,sma125,sma200
1985-08-09,1328.849976,1331.880005,1317.650024,1320.790039,1320.790039,7430000,1329.548022,1339.382007,1342.966006,1312.141608,1295.708087,1320.790039
1985-08-12,1318.77002,1324.369995,1309.140015,1314.290039,1314.290039,7200000,1323.028027,1336.425012,1342.401206,1312.535075,1296.009527,1314.290039
1985-08-13,1314.630005,1325.48999,1303.650024,1315.300049,1315.300049,7200000,1321.05603,1333.34502,1342.136807,1313.070008,1296.148567,1315.300049
1985-08-14,1318.550049,1326.050049,1311.380005,1316.97998,1316.97998,7120000,1319.444018,1330.298022,1341.500405,1313.833475,1296.381367,1316.97998
1985-08-15,1318.439941,1324.709961,1308.130005,1317.76001,1317.76001,7550000,1317.024023,1326.512024,1340.702808,1314.629474,1296.667287,1317.76001
1985-08-16,1312.609985,1321.569946,1305.890015,1312.719971,1312.719971,10380000,1315.41001,1322.479016,1339.667607,1315.57174,1296.924327,1312.719971
1985-08-19,1312.050049,1319.219971,1307.569946,1312.5,1312.5,6070000,1315.052002,1319.040015,1338.749209,1316.50814,1297.159287,1312.5
1985-08-20,1315.969971,1328.069946,1311.829956,1323.699951,1323.699951,9120000,1316.731982,1318.894006,1337.781606,1317.527606,1297.516566,1323.699951
1985-08-21,1323.920044,1333.670044,1319.109985,1329.530029,1329.530029,7180000,1319.241992,1319.343005,1336.644009,1318.617472,1297.946087,1329.530029
1985-08-22,1330.420044,1334.680054,1313.51001,1318.099976,1318.099976,8260000,1319.309985,1318.167004,1335.331206,1319.488805,1298.270887,1318.099976
1985-08-23,1316.420044,1322.920044,1310.47998,1318.319946,1318.319946,6090000,1320.42998,1317.919995,1333.682402,1320.402671,1298.528566,1318.319946
1985-08-26,1316.640015,1324.26001,1309.810059,1317.650024,1317.650024,5160000,1321.459985,1318.255994,1332.082803,1321.167738,1298.821526,1317.650024
1985-08-27,1321.23999,1328.630005,1315.189941,1322.469971,1322.469971,6750000,1321.213989,1318.972986,1330.909199,1321.811603,1299.129206,1322.469971
1985-08-28,1322.920044,1334.790039,1316.97998,1331.089966,1331.089966,12840000,1321.525977,1320.383984,1330.196797,1322.526136,1299.383046,1331.089966
1985-08-29,1331.209961,1340.050049,1325.160034,1335.130005,1335.130005,10400000,1324.931982,1322.120984,1329.457598,1323.350536,1299.747846,1335.130005
1985-08-30,1335.459961,1342.410034,1325.27002,1334.01001,1334.01001,9110000,1328.069995,1324.249988,1328.5348,1324.157069,1300.085126,1334.01001
1985-09-03,1333.670044,1337.140015,1322.800049,1329.189941,1329.189941,8070000,1330.377979,1325.918982,1327.947998,1324.838934,1300.475686,1329.189941
1985-09-04,1329.079956,1334.119995,1318.209961,1326.719971,1326.719971,8610000,1331.227979,1326.220984,1327.172798,1325.390667,1300.917205,1326.719971
1985-09-05,1326.390015,1333,1318.660034,1325.829956,1325.829956,8250000,1330.175977,1325.850977,1326.307998,1325.67,1301.366565,1325.829956
1985-09-06,1327.170044,1341.400024,1323.920044,1335.689941,1335.689941,8900000,1330.287964,1327.609973,1325.510796,1326.016533,1301.903684,1335.689941
1985-09-09,1335.130005,1348.22998,1326.609985,1339.27002,1339.27002,8680000,1331.339966,1329.704981,1324.959595,1326.49,1302.443844,1339.27002
1985-09-10,1337.930054,1346.550049,1324.819946,1333.449951,1333.449951,10140000,1332.191968,1331.284973,1324.421992,1326.979867,1303.017844,1333.449951
1985-09-11,1330.199951,1334.01001,1314.849976,1319.439941,1319.439941,8070000,1330.735962,1330.98197,1324.193188,1327.2128,1303.492963,1319.439941
1985-09-12,1317.430054,1327.400024,1307.01001,1312.390015,1312.390015,9940000,1328.047974,1329.111975,1323.687187,1327.357733,1304.013283,1312.390015
1985-09-13,1314.959961,1320.119995,1296.709961,1307.680054,1307.680054,10130000,1322.445996,1326.36698,1322.79999,1327.4204,1304.477363,1307.680054
1985-09-16,1307.349976,1315.75,1301.079956,1309.140015,1309.140015,7020000,1316.419995,1323.879981,1322.333989,1327.4652,1304.781764,1309.140015
1985-09-17,1308.579956,1314.52002,1291.219971,1298.160034,1298.160034,10270000,1309.362012,1320.77699,1321.688789,1327.2352,1305.045124,1298.160034
1985-09-18,1295.25,1307.569946,1283.709961,1300.400024,1300.400024,11930000,1305.554028,1318.144995,1321.092788,1327.0948,1305.302564,1300.400024
1985-09-19,1298.839966,1312.949951,1291.219971,1306.790039,1306.790039,10130000,1304.434033,1316.241003,1320.68519,1326.981333,1305.617285,1306.790039
1985-09-20,1306.339966,1313.400024,1294.469971,1297.939941,1297.939941,11020000,1302.486011,1312.466003,1319.892388,1326.679731,1305.921285,1297.939941
1985-09-23,1313.959961,1323.589966,1305.780029,1316.310059,1316.310059,17580000,1303.920019,1310.170007,1320.035991,1326.533465,1306.374006,1316.310059
1985-09-24,1314.73999,1334.569946,1301.859985,1321.119995,1321.119995,11040000,1308.512012,1308.937012,1320.380791,1326.596131,1306.823686,1321.119995
1985-09-25,1323.47998,1330.199951,1306,1312.050049,1312.050049,12280000,1310.842017,1308.198023,1319.914795,1326.510933,1307.234406,1312.050049
1985-09-26,1310.599976,1325.27002,1301.969971,1320.790039,1320.790039,12880000,1313.642017,1309.038025,1319.565195,1326.6036,1307.666486,1320.790039
1985-09-30,1330.089966,1336.810059,1318.550049,1328.630005,1328.630005,12020000,1319.780029,1311.13302,1319.986396,1326.900801,1308.113526,1328.630005
1985-10-01,1329.640015,1343.969971,1323.47998,1340.949951,1340.949951,15600000,1324.708008,1314.314014,1320.891597,1327.5788,1308.715686,1340.949951
1985-10-02,1343.410034,1351.589966,1327.959961,1333.670044,1333.670044,12580000,1327.218018,1317.865015,1321.532397,1328.014935,1309.320565,1333.670044
1985-10-03,1332.209961,1345.430054,1323.810059,1333.109985,1333.109985,10700000,1331.430005,1321.136011,1321.957998,1328.477868,1309.913045,1333.109985
1985-10-04,1330.089966,1335.01001,1321.119995,1328.73999,1328.73999,8830000,1333.019995,1323.331006,1321.863999,1328.797467,1310.519125,1328.73999
1985-10-07,1326.050049,1335.910034,1315.189941,1324.369995,1324.369995,9300000,1332.167993,1325.974011,1321.433599,1329.157334,1311.083205,1324.369995
1985-10-08,1325.040039,1333.890015,1316.199951,1325.48999,1325.48999,7620000,1329.076001,1326.892004,1321.092798,1329.500801,1311.607606,1325.48999
1985-10-09,1324.47998,1336.810059,1320.22998,1326.719971,1326.719971,7500000,1327.685986,1327.452002,1320.993999,1329.530667,1312.111846,1326.719971
1985-10-10,1325.599976,1333.329956,1318.439941,1328.069946,1328.069946,6010000,1326.677978,1329.053992,1321.047998,1329.630799,1312.610965,1328.069946
1985-10-11,1328.290039,1343.410034,1323.699951,1339.939941,1339.939941,9210000,1328.917969,1330.968982,1321.612397,1329.856265,1313.196244,1339.939941
1985-10-14,1340.390015,1356.180054,1336.579956,1354.72998,1354.72998,8640000,1334.989966,1333.578979,1322.373999,1330.26853,1313.877684,1354.72998
