,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200,%K,%D
1247,1247,1990-01-05,2786.899902,2810.149902,2758.110107,2773.25,2773.25,20290000,2788.481982199996,2751.088964799995,2738.5927734399993,2692.061588520001,2679.6558319999954,2582.4401965199977,65.3302107388015,62.28989751240916
1248,1248,1990-01-08,2761.72998,2803.969971,2753.409912,2794.3701170000004,2794.3701170000004,16610000,2796.7160153999957,2761.412988199995,2742.1167773199995,2693.5346581733343,2681.8939120799955,2585.1968469099984,77.3754408062122,67.35624509482211
1249,1249,1990-01-09,2792.879883,2810.790039,2760.030029,2766.0,2766.0,15800000,2787.886034999995,2766.873998899995,2742.8507812399994,2694.677591120001,2683.7608730159955,2587.7375463749977,61.19538904303504,69.2963667577501
1250,1250,1990-01-10,2758.110107,2772.820068,2725.469971,2750.639893,2750.639893,19950000,2776.068017599995,2771.011987199995,2742.7311816399992,2695.5979882666684,2685.4594316159955,2590.113045644999,52.435209226084126,70.52941482180873
1251,1251,1990-01-11,2764.929932,2783.27002,2748.290039,2760.669922,2760.669922,15790000,2768.985986399996,2774.638989199995,2743.4907812399993,2696.9510546800016,2687.106230447996,2592.5087951549986,58.15553771137609,71.13358483460158
1252,1252,1990-01-12,2722.050049,2735.919922,2675.97998,2689.209961,2689.209961,24180000,2752.1779785999956,2770.3299803999957,2741.58837888,2697.2879882800016,2688.191990215996,2594.5481445199985,17.40047603945538,67.03560136711175
1253,1253,1990-01-15,2682.379883,2698.110107,2656.360107,2669.3701170000004,2669.3701170000004,18630000,2727.177978599995,2761.946996999995,2739.5319823999994,2697.238789053335,2689.188871071996,2596.4268945199983,7.322160614064406,60.27198588423626
1254,1254,1990-01-16,2645.47998,2698.379883,2634.169922,2692.6201170000004,2692.6201170000004,25000000,2712.502001999995,2750.1940184999958,2737.979189439999,2697.208258453335,2690.0545527119957,2598.3659948599984,29.24408905009065,53.29446608578337
1255,1255,1990-01-17,2692.830078,2711.389893,2643.77002,2659.129883,2659.129883,21310000,2694.1999999999953,2735.134008799995,2735.2147851599993,2696.7590559866685,2690.723671855996,2600.1706445199984,12.48809045326172,45.92972698460695
1256,1256,1990-01-18,2639.709961,2678.110107,2625.850098,2666.379883,2666.379883,22750000,2675.3419921999953,2722.163989299995,2731.784785159999,2696.127854813334,2691.195830063996,2601.9785436899983,19.46769608816026,40.041429977053994
1257,1257,1990-01-19,2680.25,2696.889893,2657.850098,2677.899902,2677.899902,23360000,2673.0799803999953,2712.6289794999952,2728.4571777199994,2695.105719386668,2691.9391894399955,2603.9081933449984,25.001113766586926,36.00852027983254
1258,1258,1990-01-22,2672.75,2683.330078,2595.27002,2600.449951,2600.449951,20060000,2659.295947199995,2693.236962899995,2722.3299804399994,2692.8305175600008,2692.078148423996,2605.3864428549978,2.169422702939988,28.487918469505313
1259,1259,1990-01-23,2619.3701170000004,2639.639893,2584.01001,2615.320068,2615.320068,22520000,2643.835937399995,2678.168969699995,2717.3607812,2690.720651013334,2692.0963085759954,2606.9536926099977,12.522519045102387,23.62063146971205
